epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,648.637,0.82446,0.58036,0.82705,0.95711,0.97295,0.98411,0.74832,1.06586,0.67231,0.84154,0.00038375,0.00038375,0.00038375
44,664.237,0.8168,0.58154,0.82754,0.95297,0.99211,0.98411,0.75395,1.00698,0.64356,0.83327,0.000363125,0.000363125,0.000363125
45,679.614,0.81718,0.57963,0.82688,0.95674,0.9926,0.98679,0.76559,1.01164,0.64043,0.83442,0.0003425,0.0003425,0.0003425
46,695.329,0.80092,0.56178,0.83478,0.96341,0.9872,0.98679,0.75295,1.03025,0.63279,0.83576,0.000321875,0.000321875,0.000321875
47,710.385,0.84974,0.58627,0.82739,0.96714,0.9893,0.98679,0.74536,1.0454,0.63428,0.83771,0.00030125,0.00030125,0.00030125
48,725.479,0.78071,0.56399,0.8286,0.96289,1,0.98411,0.76668,0.99545,0.60838,0.83104,0.000280625,0.000280625,0.000280625
49,741.065,0.81385,0.57938,0.8237,0.9605,1,0.98411,0.7518,1.0033,0.62074,0.83094,0.00026,0.00026,0.00026
50,756.423,0.78864,0.56978,0.82259,0.96242,1,0.98411,0.74526,1.01347,0.62261,0.83234,0.000239375,0.000239375,0.000239375
51,771.378,0.80218,0.60087,0.84436,0.95648,1,0.98411,0.768,1.03161,0.6229,0.83544,0.00021875,0.00021875,0.00021875
52,786.196,0.79716,0.62256,0.83232,0.95549,1,0.98411,0.73679,1.04786,0.63219,0.83735,0.000198125,0.000198125,0.000198125
53,800.348,0.80582,0.58634,0.8418,0.95227,1,0.98268,0.74213,1.03138,0.63288,0.83555,0.0001775,0.0001775,0.0001775
54,814.546,0.77627,0.58491,0.82995,0.9526,1,0.98411,0.76643,1.00949,0.631,0.8332,0.000156875,0.000156875,0.000156875
55,828.894,0.78404,0.59557,0.83659,0.95258,1,0.98411,0.76675,1.00166,0.62961,0.83299,0.00013625,0.00013625,0.00013625
56,843.013,0.80394,0.57468,0.83224,0.95674,1,0.98411,0.73722,1.01334,0.62926,0.83532,0.000115625,0.000115625,0.000115625
57,857.24,0.79773,0.58178,0.83145,0.9618,1,0.98411,0.73896,1.01816,0.62848,0.83529,9.5e-05,9.5e-05,9.5e-05
58,871.78,0.78073,0.57347,0.83442,0.9399,0.99747,0.98411,0.74019,1.02494,0.63913,0.83462,7.4375e-05,7.4375e-05,7.4375e-05
59,886.2,0.77365,0.57253,0.8208,0.91887,0.99276,0.98411,0.74199,1.0285,0.64322,0.83414,5.375e-05,5.375e-05,5.375e-05
60,899.647,0.78684,0.56303,0.8213,0.91057,0.9917,0.98268,0.7433,1.023,0.64836,0.83357,3.3125e-05,3.3125e-05,3.3125e-05
